u,v,key,osmid,highway,lanes,maxspeed,name,oneway,reversed,length,ref,bridge,junction,tunnel,geometry
8597675,8597687,0,2000486,tertiary,2,40,Prince Street,False,False,62.89998515435713,,,,,"LINESTRING (-63.121808 46.233966, -63.121871 46.234016, -63.122363 46.234381)"
8597675,2147094177,0,2500408,residential,,,Lower Prince Street,False,False,177.3134283257525,,,,,"LINESTRING (-63.121808 46.233966, -63.12173 46.233906, -63.121543 46.233761, -63.121024 46.233366, -63.120942 46.233307, -63.120883 46.233262, -63.1208 46.233199, -63.120669 46.233104, -63.120323 46.23282, -63.120266 46.232781)"
8597675,8682425,0,393243508,tertiary,2,50,Water Street,False,False,154.10635893081852,,,,,"LINESTRING (-63.121808 46.233966, -63.121735 46.234009, -63.120854 46.234529, -63.120324 46.234849, -63.120289 46.23487)"
8597675,8598672,0,393243508,tertiary,2,50,Water Street,False,True,159.5273940970947,,,,,"LINESTRING (-63.121808 46.233966, -63.121932 46.233887, -63.122329 46.233636, -63.122983 46.233222, -63.123338 46.232997)"
8597687,11068549,0,2000486,tertiary,2,40,Prince Street,False,False,61.912270492011864,,,,,"LINESTRING (-63.122363 46.234381, -63.122414 46.234418, -63.12288 46.234764, -63.122913 46.234788)"
8597687,8597675,0,2000486,tertiary,2,40,Prince Street,False,True,62.89998515435713,,,,,"LINESTRING (-63.122363 46.234381, -63.121871 46.234016, -63.121808 46.233966)"
8597687,10295258,0,2372086,residential,,,King Street,True,False,157.92596076063384,,,,,"LINESTRING (-63.122363 46.234381, -63.122476 46.23431, -63.123552 46.233634, -63.123787 46.233486, -63.123883 46.233426)"
8597690,11068549,0,2000486,tertiary,2,40,Prince Street,False,True,61.63499021569014,,,,,"LINESTRING (-63.123458 46.235194, -63.122913 46.234788)"
8597690,8597694,0,2000486,tertiary,2,40,Prince Street,False,False,62.229073762626605,,,,,"LINESTRING (-63.123458 46.235194, -63.123499 46.235226, -63.123622 46.235323, -63.123773 46.235438, -63.123867 46.235511, -63.123958 46.23558, -63.123998 46.235611)"
8597690,8598671,0,2018723,residential,,,Sydney Street,True,False,156.29509051505826,,,,,"LINESTRING (-63.123458 46.235194, -63.124552 46.234483, -63.124832 46.234301, -63.124939 46.234232)"
